9707	22243	22828	11867	11784	35436	23411	21111	10408	10177	10266	9707	9530	10765	9561	9420	27283	53047	56972	53937	42207	33414	28654	28919	12091	18729	30169	24765	19884	14301	13411
58156	140285	134001	67353	67210	203288	138505	136496	64565	67601	68486	69710	76074	83802	77707	73882	210998	400764	416694	384789	354128	287335	243248	219464	84647	129626	200327	159206	122576	78514	57748
240011	578283	562394	282754	279443	839239	539036	509626	248930	250527	251021	254088	262467	280587	270155	256400	770944	1537956	1580739	1373288	1175660	916392	733348	656447	255624	372893	569917	431176	330636	214494	162035
30248	71359	67892	35089	35759	113476	77136	72740	33103	32009	30100	29017	29964	31167	27826	27745	80899	137714	138139	124438	100277	77741	61915	55070	20844	31491	48348	40213	29254	18345	13532
7278	17159	16800	8407	8350	25553	15818	14668	6985	7196	7476	7890	8884	10284	9786	9638	23341	45379	50501	49545	43259	32181	25093	22642	9283	13193	20702	16580	12741	8855	7291
79838	187216	173885	87547	82927	254522	164578	158549	76315	78799	78061	82090	91202	105363	106768	102810	302074	574731	573355	516925	475005	376548	294293	256697	98311	146345	230365	173017	123753	77084	58385
64646	152798	147369	76548	73437	220995	142348	132551	62077	62938	61299	61454	64374	71604	72705	69748	203411	412063	449378	427351	377062	286404	217834	190450	76217	114058	187771	150939	112052	69658	55153
17582	44407	44556	22566	22750	75016	53087	54889	26308	27416	27609	28020	28668	30326	26808	24852	66851	121713	141334	141986	128919	101282	90713	85391	35202	56422	87914	69012	54602	33146	24130
63022	148142	149471	76817	74144	226268	149628	137625	66004	67750	65784	66079	69054	77524	76015	72336	211880	399551	425558	390853	335933	259364	219481	202666	83767	126108	196325	164536	131482	86702	71900
5863	14676	14336	8094	7883	24690	16581	14899	7272	7001	6794	6992	6758	6904	6241	5307	15528	33889	41573	41042	33140	25402	20139	17674	7063	10802	15309	12475	9053	5823	4385
