8186453	4022230	62600	60123	60383	58086	60773	60347	61238	63135	62391	66508	66710	63475	62200	60162	61363	60294	59414	59491	62251	64368	65540	60830	60618	59239	59821	60430	60335	63909	66057	71550	69468	64850	64096	64602	65900	71871	72076	70510	70377	69121	70876	65988	66062	64563	61533	60169	58015	54527	53409	52451	51624	50301	51642	49539	38263	39077	37315	38038	33525	31816	30991	28283	26405	25206	24552	23962	21741	21692	20695	19674	19161	18400	17862	16168	15356	14070	12369	12132	11178	10317	8877	8180	6935	6124	4706	4285	4179	3067	2552	1971	1454	1156	945	666	484	336	275	149	139	86	191	0	14	4164223	58649	58373	56555	57828	58607	57688	58453	61038	62227	62468	62492	59473	58843	59084	58556	55644	56147	54956	56907	58265	58805	56285	57157	57062	57566	58649	57781	62601	66122	68833	67366	63606	62482	64146	66912	73947	72911	70916	71142	70979	70436	67906	67168	64974	65087	61980	59891	59528	58866	55424	55219	52865	54455	53400	40781	41298	39832	41513	35884	33586	32268	31052	29655	28465	28811	27988	25349	26879	25261	24687	24676	24240	23619	22449	22434	20885	19726	18976	18461	17017	16975	14961	13321	13072	10752	10957	8999	8573	7336	5976	5462	4196	3303	2711	1807	1523	1078	789	618	463	750	35	54
1211537	608269	8052	7820	7537	7618	8648	8501	8662	8355	8971	8922	8892	8442	8621	8853	8607	8226	8407	8240	8047	8717	9398	9372	9476	8761	8544	8198	8231	8327	9212	9323	9429	8500	8048	8380	9140	9848	9731	9996	9902	9736	9912	9792	10064	9973	9811	9514	8866	9328	9308	8858	8923	8236	8164	7749	6921	7015	6720	5615	5163	5167	4898	4431	4446	4245	3847	4031	3627	4029	4028	4079	3941	3581	3814	3675	3896	3971	2982	3240	2699	2626	2605	2267	1833	1643	1459	1324	1196	1030	856	841	534	425	372	276	253	126	104	71	48	35	91	0	5	603268	7672	7645	7451	7289	7454	8075	8200	8528	8294	8652	8181	8181	7780	7808	7951	7594	8064	8132	7363	7373	7735	7438	7485	7358	7668	7473	7627	7510	8191	8684	8814	7808	8559	8089	8542	9813	9296	9810	9259	9836	10401	9820	9474	9855	10015	8974	9445	9192	8868	8959	9237	8303	8031	7332	6732	6926	6671	5922	5448	5072	5251	4682	5018	4714	4716	4826	4352	4788	4559	5018	4757	4959	4690	4922	4634	4739	3878	4031	3646	3253	3321	2509	2443	2396	1830	1687	1454	1321	1039	789	834	672	464	318	314	234	224	184	139	103	175	17	9
1293953	648699	10288	9530	10427	9456	10128	9648	10049	10459	11013	10684	10639	10553	10803	10458	11519	11467	11639	11200	12016	9675	9377	10514	10448	9763	8901	9043	8618	8225	8714	9424	8995	8344	7907	8215	9012	9748	9156	9554	9989	9774	10646	9705	10043	10122	9713	9872	9390	9346	9334	8356	8316	7844	8338	8112	6565	6802	6324	5900	5360	5244	5082	5205	4511	4804	4310	4185	3966	3936	3562	3642	3654	3477	3335	3370	3140	3043	2843	2683	2521	2140	1967	1819	1728	1697	1314	1237	1001	754	783	561	497	354	241	158	106	125	94	81	7	28	34	0	0	645254	9597	9409	9247	9511	9567	9633	9522	9850	9318	10186	9729	10448	10149	10484	10025	10285	10281	10930	10907	11086	10300	9320	8721	8506	8783	7905	7689	8112	8238	9064	8501	8315	7833	8070	8479	8691	9004	9618	10101	10385	10230	9874	9923	9914	9521	9933	9526	9296	8884	8655	7858	8131	8306	7611	6322	5706	6551	6497	5639	5365	4850	5290	4771	4284	4656	4265	3978	4264	4148	4037	4074	4070	3734	3637	3710	3891	3265	3207	3711	2986	2966	3033	2502	2406	2053	2029	1862	1525	1257	1113	1115	837	537	427	383	256	132	234	112	41	59	6	0
12419293	6074136	89937	88171	87300	87197	93709	94378	95760	94159	95696	97803	95653	94831	93530	88887	91143	90024	89219	92236	92702	91289	93406	85779	84401	87119	85405	84628	81549	88698	93241	97906	96231	90002	89668	89771	92245	100647	99869	99840	102438	101332	104401	101405	99648	95978	94743	94836	87147	86260	84933	80009	78107	75884	76808	73997	57676	55899	59036	59231	53344	47362	46723	45921	43635	42064	40644	39310	35815	35129	35509	35341	35385	33587	33603	31927	30018	29612	27031	24559	23744	21841	19302	17413	14954	13171	12301	10707	8628	7316	5219	4889	3679	3226	2041	1736	1134	746	520	359	199	237	412	40	6	6345157	85512	84460	82676	85652	87174	88758	89346	91139	91999	93952	92793	88773	88087	84938	88043	86867	83769	85658	85566	84193	86299	81741	80817	83176	84500	83382	82697	86341	91469	96825	93826	88177	88398	90429	93357	99561	100838	102744	103140	103259	106645	101264	102438	100077	96048	96014	90858	88173	86206	83979	82935	79102	79974	79648	61095	61735	62423	64554	56178	52444	51525	51423	49007	45926	46872	45073	41687	42051	42131	44861	44124	42342	43490	42594	41571	40913	39661	37271	38229	34956	33675	29798	28040	26028	23892	22320	19002	17445	14347	13536	10243	8814	7579	5826	4372	3689	2506	2105	1182	1151	1609	139	31
6080485	2979756	43413	42650	42204	43235	45386	45299	44619	44685	46540	46435	46760	46456	44938	43826	44393	44361	44782	46536	46540	47982	48228	44670	43994	41666	39566	38471	37552	40028	43108	45790	44457	40907	41393	41505	43118	47201	48161	46801	47963	48841	50863	48320	49810	47921	46482	46430	45223	43911	42288	40163	40320	38445	39341	38101	28807	29888	29183	31319	26585	25946	23207	23778	23333	20586	21293	19893	18139	18627	18450	18888	18297	17081	17690	16347	15227	14879	12842	12298	11466	10609	9588	8606	7229	6661	5779	5261	4358	3444	2969	2403	1916	1350	1140	663	575	366	234	163	87	105	103	0	20	3100729	41252	40795	41769	40929	41034	41009	42302	43446	43653	44470	44487	45026	42552	41910	43972	42962	42487	42233	43965	46081	46539	45270	42158	39507	38235	37846	37393	40079	41669	45091	42958	39776	40576	41464	43686	46861	48441	48247	48536	49891	50862	49489	49821	47877	46773	46745	44800	44671	43202	41550	41005	39360	40382	40273	30353	30839	31655	32323	29223	27151	26191	25543	24621	23299	23032	22778	21251	22876	21395	22219	22529	21733	21897	21152	21268	20312	20267	18556	18720	18158	16187	14179	13556	12333	11770	10546	9461	8832	7089	6529	4957	4422	3330	2838	2245	1733	1206	1025	575	400	748	54	6
2926324	1434419	18943	19573	18982	19413	19144	19652	20263	20552	21195	21643	21701	21824	21463	21187	22318	22169	22338	22677	23328	23497	24387	21541	21423	18798	18509	17809	16211	17443	18442	20111	19553	18472	17852	18596	19086	20748	20962	21924	22392	23970	23178	22890	22876	22739	22832	22661	21571	20987	22161	20372	19383	18959	19249	18555	13812	14002	14420	14123	13396	12355	12245	11532	10606	11350	10903	10749	9601	10108	9838	9621	9526	9668	9919	9405	8778	8783	7848	7684	7218	6668	6098	5455	4870	4368	3790	3177	2730	2381	2127	1581	1325	991	980	585	418	265	170	175	143	37	82	4	5	1491905	18405	17842	18132	18687	18704	19271	19354	19738	20625	20518	20635	20334	19657	20631	21075	21420	21086	21183	22168	22654	23193	22085	20598	18546	17407	17024	16058	16468	18121	19240	18130	18098	17827	18138	18583	20375	21000	21901	22914	23998	23110	22705	22747	22254	22466	21659	21975	21075	21203	20051	18426	18520	19873	18674	14044	14802	14659	14699	13082	13110	12826	12646	12437	11821	12012	11632	11031	11308	11803	11592	11994	11376	11853	11622	11523	11389	11097	10256	10383	10046	9557	8852	8618	8123	7740	7017	6281	5781	4680	4586	3815	3279	2830	2209	1679	1399	1200	902	666	402	596	86	3
2688418	1327761	20059	20024	18842	18088	19684	19653	19612	19710	20805	21195	20994	20884	19952	21191	21954	20906	21018	21234	22150	21402	22143	20326	19341	19731	18345	17789	16205	17503	17682	18513	18625	17403	16797	17258	18289	20076	20460	21248	21359	21963	21776	20980	22105	21419	21224	20706	20049	19463	19095	18247	17122	16660	17800	16058	12463	12356	12385	12528	11679	10523	10048	9822	9556	8771	9176	8991	8398	8360	8009	8253	7933	7813	8080	7732	7070	7041	6820	6286	5758	5397	4776	4089	3675	3396	2874	2754	2289	2083	1585	1310	1139	933	807	537	362	233	170	130	61	67	121	5	0	1360657	17759	17915	18208	18719	18760	18282	18232	19728	19610	19271	19566	20092	18799	19857	20317	20590	19740	19970	20414	20086	20527	18740	18574	17182	17030	16361	15502	16397	17393	18304	18099	16372	16544	17009	17695	18886	20345	21565	22232	22321	21621	21688	21962	22062	20931	20500	19984	19634	18875	17612	17174	16887	16917	16709	11978	12913	13736	13067	11722	10938	10547	10544	10192	9375	9752	9821	9641	9245	9888	9734	9937	9562	9521	9413	9171	9361	9280	8433	8954	8571	7904	7197	6799	6028	5920	5495	4726	4303	4070	3565	2813	2451	2153	1623	1264	908	891	558	371	223	518	25	7
4041769	1974840	27164	27395	27307	26007	28357	27266	27932	28740	29057	29912	30103	28603	28833	28038	28952	28161	29526	29740	29055	30570	31084	29719	28936	28013	26945	27103	26144	27512	29722	30307	29490	27941	27947	27458	29806	31979	32347	31694	30914	32532	32919	31140	32846	32387	31119	30214	29454	29020	28664	27790	26896	27125	27192	26577	20429	20729	20967	20210	19439	18573	16717	16592	16659	14448	15306	14725	13200	13797	12718	12693	12672	11333	11731	10601	10134	9612	9093	7898	7658	6706	5870	5169	4490	3979	3618	3113	2511	2161	1706	1497	1089	1027	708	465	347	248	138	92	110	97	94	15	2	2066929	26674	25623	25875	25587	25550	26353	26501	26669	28540	27915	27346	26794	26544	27177	27788	27464	26869	27479	26914	28826	29983	28850	28079	27821	26736	26229	26016	27402	28879	30911	28300	29044	28201	28440	29160	32708	33195	32329	33294	32410	33145	32725	33663	32652	31774	32481	30027	30263	28796	27880	28654	27504	28159	28104	20837	21246	21846	22032	20474	19638	18344	18379	17613	16859	16808	16380	15379	15876	15959	15561	15206	14844	14814	14271	13643	14274	12906	12772	12314	11331	10120	9692	8411	7680	7974	6724	5709	5184	4681	4027	3230	2836	2091	1785	1450	938	815	619	386	276	325	52	16
4468976	2159852	33120	32325	31932	31214	32283	34048	33141	34676	35025	34626	35144	35839	35255	36311	36780	36232	37271	36384	35705	36421	35891	34328	32088	30665	29821	27038	28027	27118	29162	31901	28805	28725	28496	28700	31390	33683	34259	34282	34331	34721	35817	34686	34783	34312	33231	33591	30989	30993	29820	28650	28898	26510	27481	26466	20045	21703	20716	20396	19294	17363	17268	16096	15860	14933	14488	15384	12734	13586	12774	12521	12851	12199	11877	11073	11158	9927	8848	7907	8138	6959	6281	5432	4742	4203	3601	3338	2870	2206	1808	1522	1206	876	516	515	345	298	184	100	106	97	90	7	21	2309124	31951	29702	30841	30328	31913	30888	31712	33749	33294	34756	34588	33477	34078	33676	35924	35602	34813	35555	36867	36095	36996	33910	33039	32091	31138	29851	27336	28693	30330	32380	30768	30036	30384	30798	32072	35151	36465	36117	36320	37574	37672	35865	36218	34694	35271	35058	33219	32139	32144	30926	29542	27873	28706	27629	22275	22579	22079	22254	19993	20043	19210	19285	19161	17250	16984	17649	16268	16485	16357	15732	16352	15846	15518	14886	14639	14378	13006	12494	12685	11656	11338	9792	8729	7511	6884	6460	6156	5907	4337	3912	3264	2599	2304	1688	1455	1150	688	577	373	233	437	35	17
1274923	620214	6646	7469	7327	7376	7429	7683	8242	8070	9107	8978	9474	9403	9605	9179	10009	9589	9580	9336	8798	8230	8269	7273	7100	6521	6295	6781	5807	6966	7175	8215	7990	8011	8533	8280	8912	9561	9956	10021	10993	10363	10653	10268	10663	11220	10810	10742	9964	9691	10036	9774	9583	9326	9698	9704	7165	7071	6905	6825	6310	5817	5404	5559	5187	5707	5413	5191	4667	4932	4769	4594	4521	4134	4383	3673	3875	3464	3075	3379	3128	2651	2520	2050	1778	1489	1457	1383	1155	757	823	577	559	366	265	184	88	48	56	38	41	18	70	9	0	654709	6754	6861	6663	6860	7374	7451	7583	8031	8511	8909	8891	9089	9067	9163	8896	8916	8806	8651	8349	8020	7759	7558	6791	6592	6497	6685	6389	7276	7785	8386	8124	8085	8752	9188	9275	9857	10291	10507	11003	11646	10983	10982	11678	11163	11127	10917	10792	10145	10501	9536	9546	9303	9477	9601	7145	7009	7223	7058	6921	6318	6002	5777	5575	5550	5614	5499	4945	5168	5347	5380	5458	5325	5234	4883	5035	5246	4567	4507	4238	3865	3708	3812	2995	3063	2700	2527	2371	2098	1778	1614	1458	1282	938	610	548	369	295	176	141	50	236	8	1
