85032	13868	71164	46133	21682	19708	1974	3349
83671	24127	59544	38631	18481	13705	4776	2432
96020	41258	54762	35501	17309	12376	4933	1952
99691	54185	45506	30461	13671	10899	2772	1374
92592	57225	35367	24141	10462	7929	2533	764
77403	51394	26009	17192	8287	5511	2776	530
59388	40426	18962	12111	6623	4416	2207	228
47763	33657	14106	9073	4802	3075	1727	231
39983	29679	10304	6382	3735	2476	1259	187
36201	28030	8171	5642	2471	2015	456	58
30290	23567	6723	4567	2078	1679	399	78
21485	15740	5745	4133	1530	1110	420	82
17986	11359	6627	5191	1404	1143	261	32
11547505	6558427	4989078	3970125	665122	1007738	-342616	353831
932990	462100	470890	390666	55564	81660	-26096	24660
906678	538329	368349	304699	41077	66126	-25049	22573
881523	515664	365859	282960	45155	74947	-29792	37744
852643	297848	554795	404219	86523	125824	-39301	64053
886736	223254	663482	484543	117528	122195	-4667	61411
912104	314033	598071	470260	85721	115379	-29658	42090
1013668	497221	516447	418232	67969	98136	-30167	30246
1002647	604571	398076	325212	50551	78128	-27577	22313
878415	590967	287448	236790	34383	55210	-20827	16275
745226	536653	208573	173140	25192	47156	-21964	10241
572206	434175	138031	115752	15483	37833	-22350	6796
463740	360007	103733	88408	9682	31731	-22049	5643
396907	316860	80047	69073	7071	26688	-19617	3903
378641	308328	70313	60922	6669	16552	-9883	2722
317817	258381	59436	52358	5684	11982	-6298	1394
218574	169444	49130	42875	5329	9078	-3749	926
186990	130592	56398	50016	5541	9113	-3572	841
5657818	3110861	2546957	2020411	451397	429772	21625	75149
442458	195792	246666	198242	43032	34498	8534	5392
444320	246183	198137	159076	35047	27993	7054	4014
447929	246635	201294	154418	38795	28174	10621	8081
429833	113386	316447	242857	58460	55591	2869	15130
407027	86129	320898	250855	56494	63889	-7395	13549
419840	146169	273671	213859	50544	46181	4363	9268
480943	236033	244910	194139	44648	39121	5527	6123
488218	290450	197768	157560	35590	30786	4804	4618
438983	294152	144831	117137	24811	23758	1053	2883
376387	268596	107791	87260	18546	19876	-1330	1985
294112	220719	73393	59241	12632	16465	-3833	1520
234883	181941	52942	43510	8538	12865	-4327	894
204516	163792	40724	33877	6322	10684	-4362	525
193221	156625	36596	31106	5035	7229	-2194	455
158107	125576	32531	27583	4688	5102	-414	260
105888	78349	27539	23461	3906	3278	628	172
91153	60334	30819	26230	4309	4282	27	280
2738499	1558455	1180044	927043	214841	247853	-33012	38160
202811	95246	107565	83713	20837	18821	2016	3015
210825	123999	86826	67811	16388	15010	1378	2627
222520	125666	96854	74112	18278	16079	2199	4464
206487	43501	162986	125801	30015	39182	-9167	7170
176927	31933	144994	110439	27746	42355	-14609	6809
184335	63200	121135	93098	23697	27718	-4021	4340
220184	110766	109418	84707	21612	21343	269	3099
227797	141281	86516	68279	16206	15700	506	2031
213715	148069	65646	52621	11303	12950	-1647	1722
179495	131151	48344	38850	8498	10272	-1774	996
138648	108249	30399	24530	5348	6891	-1543	521
118378	93952	24426	19966	4070	5762	-1692	390
107283	87454	19829	16719	2833	4771	-1938	277
105664	87510	18154	15671	2240	3762	-1522	243
91372	73774	17598	15731	1738	2666	-928	129
67471	51208	16263	14376	1719	2299	-580	168
64587	41496	23091	20619	2313	2272	41	159
2500360	1310009	1190351	862102	276786	284578	-7792	51463
196098	82202	113896	82500	27038	26222	816	4358
203606	109215	94391	69446	21539	21496	43	3406
207510	108590	98920	72103	21142	20292	850	5675
191939	38128	153811	109311	34838	34571	267	9662
171649	29058	142591	97320	35904	42444	-6540	9367
174091	52950	121141	83423	31736	32564	-828	5982
210455	95721	114734	81269	29045	27397	1648	4420
215768	123064	92704	67386	22009	22607	-598	3309
194165	123679	70486	52489	16063	15699	364	1934
159768	110527	49241	37005	11157	11788	-631	1079
121847	88901	32946	25054	7284	8155	-871	608
97783	74807	22976	17732	4674	6551	-1877	570
90340	72362	17978	14046	3622	4813	-1191	310
86232	69812	16420	13440	2743	3151	-408	237
75901	60275	15626	12599	2816	2421	395	211
52658	38952	13706	11068	2519	2184	335	119
50550	31766	18784	15911	2657	2223	434	216
3776230	2112135	1664095	1299535	318579	284452	34127	45981
278885	121445	157440	123672	30434	24094	6340	3334
280178	152673	127505	101349	23219	20291	2928	2937
284604	157327	127277	99342	23715	20195	3520	4220
286166	85783	200383	153521	39498	33879	5619	7364
280225	69630	210595	161085	41740	41302	438	7770
285787	104935	180852	138157	36538	33847	2691	6157
323402	162076	161326	124578	31598	28908	2690	5150
324370	194712	129658	102152	24386	21359	3027	3120
294589	198285	96304	76751	17522	16335	1187	2031
261477	185308	76169	59481	15494	12498	2996	1194
205154	152775	52379	40146	11203	8287	2916	1030
167725	130342	37383	29500	7450	6278	1172	433
146288	117792	28496	22713	5433	5270	163	350
129249	105625	23624	19816	3481	3391	90	327
104564	83380	21184	18082	2852	3131	-279	250
67003	51518	15485	13271	2017	2492	-475	197
56564	38529	18035	15919	1999	2895	-896	117
4153367	2452282	1701085	1405539	253520	329279	-75759	42026
335915	167468	168447	141994	23006	28963	-5957	3447
351072	208959	142113	120993	18027	24309	-6282	3093
360945	215702	145243	121521	19788	24082	-4294	3934
329967	119337	210630	170645	33409	41214	-7805	6576
291836	87228	204608	163820	34346	49561	-15215	6442
300174	122996	177178	143996	28608	39187	-10579	4574
352903	188145	164758	134388	26281	33901	-7620	4089
352549	220003	132546	109425	20012	26201	-6189	3109
317529	217702	99827	82550	14997	19257	-4260	2280
265425	192554	72871	60399	11141	13250	-2109	1331
206420	158134	48286	40155	7249	8793	-1544	882
170535	135438	35097	29487	4979	6412	-1433	631
149490	122866	26624	22533	3704	4458	-754	387
136399	114001	22398	19564	2457	3168	-711	377
105998	87049	18949	16686	1974	2544	-570	289
68513	54029	14484	12386	1775	1898	-123	323
57697	40671	17026	14997	1767	2081	-314	262
1204164	717407	486757	368245	107999	104359	3640	10513
82565	42248	40317	30940	8469	6253	2216	908
92776	57285	35491	27812	7119	6083	1036	560
88275	53019	35256	26394	7677	8969	-1292	1185
70655	19581	51074	38334	11303	19234	-7931	1437
71465	16176	55289	41462	12432	14232	-1800	1395
85150	32318	52832	39507	12025	9330	2695	1300
104198	54903	49295	37583	10673	8206	2467	1039
109547	69830	39717	30555	8448	7173	1275	714
102098	70543	31555	24363	6507	5658	849	685
90548	65671	24877	18786	5596	5021	575	495
67457	50179	17278	12448	4562	3570	992	268
55788	42602	13186	9142	3841	2933	908	203
50492	40009	10483	7354	3024	2877	147	105
46521	37833	8688	6670	1963	1915	48	55
38120	30378	7742	6105	1589	1206	383	48
25572	19257	6315	4996	1279	913	366	40
22937	15575	7362	5794	1492	786	706	76
4945043	2752061	2192982	1550523	495152	514875	-19723	147307
389935	185760	204175	150922	41500	41191	309	11753
395472	220288	175184	131048	32493	32667	-174	11643
351528	198651	152877	107220	31327	38607	-7280	14330
312513	107682	204831	127918	57966	59125	-1159	18947
340235	79344	260891	164243	74933	60750	14183	21715
404016	133037	270979	186233	66647	61994	4653	18099
471534	219022	252512	180322	55742	57563	-1821	16448
458722	262085	196637	143569	41471	42167	-696	11597
400995	264178	136817	101972	27140	29978	-2838	7705
352813	253914	98899	73708	20014	24811	-4797	5177
266528	202657	63871	48659	11966	20732	-8766	3246
202748	158340	44408	34139	7974	14923	-6949	2295
168000	134957	33043	25677	5757	11304	-5547	1609
154605	125365	29240	22794	5227	7558	-2331	1219
128120	101408	26712	21058	4972	4857	115	682
82135	61766	20369	15108	4829	3368	1461	432
65144	43607	21537	15933	5194	3280	1914	410
5954249	3481597	2472652	1820081	446849	501557	-54708	205722
431318	234122	197196	156212	26859	31502	-4643	14125
431562	271079	160483	126263	20201	24032	-3831	14019
411955	243296	168659	111298	39243	31362	7881	18118
406139	143036	263103	147854	81895	66145	15750	33354
429138	106346	322792	210475	76317	80885	-4568	36000
491182	164969	326213	241797	56216	65185	-8969	28200
545311	264260	281051	218089	43124	51700	-8576	19838
530675	324679	205996	163129	29348	35401	-6053	13519
464700	324423	140277	112839	19130	25668	-6538	8308
408374	302320	106054	84618	15581	21498	-5917	5855
307886	236360	71526	57287	9987	17412	-7425	4252
236408	183842	52566	42618	6598	13983	-7385	3350
217275	174220	43055	35131	5528	12587	-7059	2396
213152	175171	37981	31462	4741	8696	-3955	1778
183673	150397	33276	27677	4377	6086	-1709	1222
131859	103689	28170	23863	3689	4599	-910	618
113642	79388	34254	29469	4015	4816	-801	770
9268782	5307228	3961554	3334254	467638	559568	-91930	159662
746022	353243	392779	332885	46103	41057	5046	13791
747157	437127	310030	263964	35223	35316	-93	10843
711934	423810	288124	241361	32585	36697	-4112	14178
647728	213107	434621	364530	47841	74633	-26792	22250
652525	155593	496932	404462	64852	79058	-14206	27618
703944	245328	458616	377991	59039	58174	865	21586
799194	397558	401636	335483	50112	48573	1539	16041
813300	498190	315110	266515	37510	38315	-805	11085
738388	504397	233991	200777	26238	28834	-2596	6976
627629	454524	173105	148515	19647	26616	-6969	4943
484677	365036	119641	102953	13384	23501	-10117	3304
377052	291723	85329	73961	8877	20618	-11741	2491
330784	266573	64211	55855	6807	16673	-9866	1549
